City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,hermanus,100,ZA,1571087637,73,-34.42,19.24,18.89,4.47
88,dukat,0,AL,1571087645,86,40.25,19.57,20.0,1.537
89,cidreira,100,BR,1571087654,77,-30.17,-50.22,16.6,10.613
90,semnan,0,IR,1571087662,25,35.58,53.39,16.0,0.998
91,santa isabel do rio negro,82,BR,1571087671,58,-0.41,-65.02,31.99,0.879
92,saint anthony,1,US,1571087679,22,43.97,-111.68,17.0,5.1
93,kapaa,40,US,1571087293,70,22.08,-159.32,29.0,5.7
94,waipawa,100,NZ,1571087696,92,-39.94,176.59,10.0,4.92
95,alta floresta,26,BR,1571087705,66,-9.87,-56.08,30.0,1.0
96,guerrero negro,30,MX,1571087713,44,27.97,-114.04,24.18,7.42
97,ponta do sol,57,BR,1571087721,46,-20.63,-46.0,26.31,0.687
98,port elizabeth,1,US,1571087730,33,39.31,-74.98,23.33,3.6
99,esperance,90,AU,1571087738,100,-33.86,121.89,9.0,2.6
100,san ignacio,87,PE,1571087747,45,-5.15,-79.0,25.87,1.124
101,ucluelet,75,CA,1571087755,81,48.94,-125.55,13.89,5.7
102,ballina,90,IE,1571087763,100,54.11,-9.15,11.67,3.6
103,powell,1,US,1571087772,33,40.16,-83.08,18.89,6.7
104,isangel,40,VU,1571087780,78,-19.55,169.27,23.0,4.439
105,floro,75,NO,1571087789,71,61.6,5.03,10.0,4.1
106,bredasdorp,67,ZA,1571087797,55,-34.53,20.04,18.89,6.2
107,nanortalik,0,GL,1571087805,67,60.14,-45.24,2.25,5.222
108,bam,0,IR,1571087814,19,29.11,58.36,22.66,5.62
109,kurchum,80,KZ,1571087823,46,48.57,83.65,12.45,4.459
110,bathsheba,20,BB,1571087832,66,13.22,-59.52,29.0,7.7
111,dingle,100,PH,1571087840,90,11.0,122.67,23.55,3.677
112,mbanza-ngungu,41,CD,1571087849,95,-5.25,14.87,20.74,2.421
113,half moon bay,20,US,1571087857,76,37.46,-122.43,26.67,3.1
114,hohhot,95,CN,1571087866,32,40.81,111.65,3.0,3.0
115,sorland,75,NO,1571087874,93,67.67,12.69,3.0,0.5
116,caravelas,48,BR,1571087882,80,-17.73,-39.27,22.77,3.536
117,paamiut,0,GL,1571087891,54,61.99,-49.67,1.63,2.635
118,kuala lipis,11,MY,1571087899,96,4.19,102.05,21.47,0.076
119,hamilton,20,CA,1571087845,40,43.26,-79.87,12.22,8.7
120,ambilobe,38,MG,1571087916,71,-13.19,49.05,24.53,3.792
121,college,1,US,1571087925,50,64.86,-147.8,0.0,4.6
122,mahebourg,75,MU,1571087933,88,-20.41,57.7,21.0,1.0
123,imbituba,75,BR,1571087941,88,-28.24,-48.67,20.0,7.2
124,zuenoula,29,CI,1571087950,91,7.43,-6.04,23.49,0.741
125,sao geraldo do araguaia,100,BR,1571087959,61,-6.4,-48.55,28.38,1.748
126,ixtapa,20,MX,1571087967,70,20.71,-105.21,31.67,3.6
127,ous,95,RU,1571087975,92,60.91,61.52,3.26,2.176
128,kaeo,100,NZ,1571087984,100,-35.1,173.78,17.22,2.297
129,namibe,80,AO,1571087992,85,-15.19,12.15,21.28,1.66
130,upernavik,100,GL,1571088001,53,72.79,-56.15,-4.04,5.801
131,vardo,1,US,1571088009,23,39.62,-77.74,23.33,5.7
132,pevek,100,RU,1571088018,72,69.7,170.27,-0.09,6.81
133,shangzhi,0,CN,1571088026,55,45.21,127.96,-2.74,2.871
134,svetlogorsk,54,RU,1571088035,77,53.14,59.15,6.83,6.089
135,sayyan,25,YE,1571088043,35,15.17,44.32,15.93,6.559
136,ushtobe,100,KZ,1571088051,56,45.25,77.98,12.68,4.032
137,thompson,90,CA,1571088060,93,55.74,-97.86,2.0,2.6
138,panlaitan,100,PH,1571088068,76,12.12,119.85,25.74,1.63
139,shimoda,75,JP,1571088076,88,34.7,138.93,20.0,0.5
140,provideniya,90,RU,1571088085,69,64.42,-173.23,4.0,5.0
141,coahuayana,80,MX,1571088094,68,18.62,-100.35,30.19,0.628
142,tecoanapa,40,MX,1571088103,79,16.99,-99.26,30.0,4.6
143,sao filipe,99,CV,1571088111,81,14.9,-24.5,25.83,8.627
144,codrington,75,AU,1571088119,93,-28.95,153.24,18.0,2.6
145,port hardy,90,CA,1571088129,87,50.7,-127.42,9.0,2.1
146,tabou,87,CI,1571088137,94,4.42,-7.36,23.14,1.306
147,liwale,0,TZ,1571088146,76,-9.8,37.92,23.47,2.534
148,chapais,75,CA,1571088154,87,49.78,-74.86,6.0,2.1
149,kamenka,100,MD,1571088162,61,48.03,28.7,15.92,1.563
150,ajdabiya,5,LY,1571088171,43,30.75,20.22,25.3,2.771
151,marawi,95,PH,1571088179,94,8.0,124.29,22.78,1.79
152,fortuna,20,US,1571088188,63,40.6,-124.16,23.33,5.7
153,rio gallegos,0,AR,1571088196,25,-51.62,-69.22,18.0,4.6
154,sokoni,10,CD,1571088204,52,-12.89,28.78,20.01,2.757
155,bambous virieux,75,MU,1571088213,88,-20.34,57.76,21.0,1.0
156,nemuro,100,JP,1571088221,75,43.32,145.57,9.19,12.312
157,east london,0,ZA,1571088230,65,-33.02,27.91,20.27,11.538
158,inuvik,40,CA,1571088238,86,68.36,-133.71,-3.0,5.7
159,juegang,66,CN,1571088246,73,32.31,121.18,13.89,7.392
160,shelburne,90,CA,1571088255,40,44.08,-80.2,11.11,6.7
161,yerofey pavlovich,90,RU,1571088263,69,53.97,121.97,-3.63,1.247
162,estelle,100,FR,1571088272,93,43.97,3.47,20.56,11.3
163,inhambane,1,MZ,1571088280,78,-23.87,35.38,22.05,5.688
164,oistins,20,BB,1571088289,66,13.07,-59.53,29.0,7.7
165,nikolskoye,90,RU,1571088297,86,59.7,30.79,5.0,2.0
166,antofagasta,20,CL,1571088305,63,-23.65,-70.4,18.0,6.7
167,aguimes,40,ES,1571088314,68,27.91,-15.45,22.0,5.1
168,khatanga,100,RU,1571088322,97,71.98,102.47,-2.21,4.307
169,margate,75,AU,1571088331,71,-43.03,147.26,12.78,2.6
170,rodeo,100,MX,1571088339,38,25.18,-104.56,27.42,1.849
171,kashin,77,RU,1571088347,94,57.36,37.61,9.98,4.675
172,ongandjera,42,NA,1571088356,43,-17.88,15.07,27.58,0.189
173,wajima,100,JP,1571088364,78,37.4,136.9,14.89,9.908
174,wuwei,100,CN,1571088373,75,37.93,102.64,3.97,1.741
175,plaridel,100,PH,1571088381,77,13.96,122.02,27.42,7.213
176,flin flon,90,CA,1571088390,93,54.77,-101.88,2.0,2.6
177,coquimbo,75,CL,1571088398,72,-29.95,-71.34,16.0,5.1
178,sitka,0,US,1571088407,27,37.17,-99.65,28.33,4.47
179,talcahuano,40,CL,1571088415,82,-36.72,-73.12,15.0,9.8
180,ostrovnoy,95,RU,1571088424,92,68.05,39.51,-0.46,2.695
181,samarai,69,PG,1571088432,87,-10.62,150.67,23.46,2.622
182,cururupu,3,BR,1571088441,72,-1.82,-44.87,26.36,2.191
183,mar del plata,0,AR,1571088449,49,-46.43,-67.52,9.95,5.536
